time_s,leader,state_full_1,state_full_2,state_full_3,state_full_4,error_full_1,error_full_2,error_full_3,error_full_4,error_power_1,error_power_2,error_power_3,error_power_4,error_linear_1,error_linear_2,error_linear_3,error_linear_4,error_none_1,error_none_2,error_none_3,error_none_4,hit_time_full_s
0.3775,1.0972332320661715,1.0972332320661715,1.0972332320661715,1.0972332320661715,1.0972332320661715,0.0,0.0,0.0,0.0,0.09412501328661117,-0.01008018142160232,-0.48278016041001576,-0.15963220639191056,0.0,0.0,0.0,0.0,3.125992840508312,2.1240009780489677,-7.006172112868997,-2.937251316535925,0.221
0.378,1.0974687235382923,1.0974687235382923,1.0974687235382923,1.0974687235382923,1.0974687235382923,0.0,0.0,0.0,0.0,0.0805358197326507,-0.011341959808566343,-0.42711586122972833,-0.1412228038313243,0.0,0.0,0.0,0.0,3.1261428913427274,2.1241489658967465,-7.007521729055413,-2.9385640414389376,0.221
0.3785,1.097704621547865,1.097704621547865,1.097704621547865,1.097704621547865,1.097704621547865,0.0,0.0,0.0,0.0,0.08466416939787626,-0.011079308213318857,-0.4445907099628953,-0.14698350780422978,0.0,0.0,0.0,0.0,3.1262928787141164,2.1242968918589384,-7.008871408977546,-2.9398769075226068,0.221
0.379,1.0979409265446187,1.0979409265446187,1.0979409265446187,1.0979409265446187,1.0979409265446187,0.0,0.0,0.0,0.0,0.07898973959758172,-0.011497821279038069,-0.42094334882694917,-0.13916211459469546,0.0,0.0,0.0,0.0,3.126442802536572,2.1244447558498516,-7.010221152721271,-2.941189914695296,0.221
0.3795,1.0981776389779427,1.0981776389779427,1.0981776389779427,1.0981776389779427,1.0981776389779427,0.0,0.0,0.0,0.0,0.07443525497727752,-0.011779057451876471,-0.4017450025747772,-0.13281339679655357,0.0,0.0,0.0,0.0,3.126592662724183,2.1245925577837883,-7.011570960372464,-2.9425030628657574,0.221
0.38,1.0984147592968863,1.0984147592968863,1.0984147592968863,1.0984147592968863,1.0984147592968863,0.0,0.0,0.0,0.0,0.07934356879417792,-0.011536791943014319,-0.42279388909097754,-0.13975216243033167,0.0,0.0,0.0,0.0,3.126742459191037,2.124740297575048,-7.0129208320170076,-2.9438163519431315,0.221
0.3805,1.098652287950157,1.098652287950157,1.098652287950157,1.098652287950157,1.098652287950157,0.0,0.0,0.0,0.0,0.0663774848836789,-0.01233137350632416,-0.3680072042708271,-0.12165613169708624,0.0,0.0,0.0,0.0,3.1268921918512165,2.1248879751379253,-7.0142707677407845,-2.9451297818369455,0.221
0.381,1.0988902253861212,1.0988902253861212,1.0988902253861212,1.0988902253861212,1.0988902253861212,0.0,0.0,0.0,0.0,0.0789423821681406,-0.012002541846422772,-0.42294579223921464,-0.13977278500942614,0.0,0.0,0.0,0.0,3.127041860618802,2.125035590386712,-7.015620767629682,-2.9464433524571123,0.221
0.3815,1.0991285720528023,1.0991285720528023,1.0991285720528023,1.0991285720528023,1.0991285720528023,0.0,0.0,0.0,0.0,0.0876950936065547,-0.011524665110964744,-0.46021282951044734,-0.15206115144985363,0.0,0.0,0.0,0.0,3.127191465407873,2.125183143235697,-7.016970831769588,-2.9477570637139303,0.221
0.382,1.09936732839788,1.09936732839788,1.09936732839788,1.09936732839788,1.09936732839788,0.0,0.0,0.0,0.0,0.08451428875105402,-0.011759022251232319,-0.4470042600951139,-0.14768908742453643,0.0,0.0,0.0,0.0,3.1273410061325055,2.1253306335991664,-7.018320960246393,-2.949070915518081,0.221
