path_id,seed,hit_rho_0p00_s,j_at_hit_rho_0p00,hit_rho_0p25_s,j_at_hit_rho_0p25,hit_rho_0p50_s,j_at_hit_rho_0p50,hit_rho_0p75_s,j_at_hit_rho_0p75,hit_rho_1p00_s,j_at_hit_rho_1p00
4461,734921,0.4885,122.73467353469667,0.5720000000000001,246.00764141568362,0.6205,538.5110168336358,0.6295000000000001,1209.6291876426492,0.682,2654.520373292813
4462,734921,0.3775,46.75685834455927,0.3775,58.276798407686805,0.377,71.85310553262647,0.369,87.73632658348211,0.2335,108.31610553703477
4463,734921,0.32,505.8197983364908,0.3645,957.9663456417858,0.368,1664.918289804878,0.3205,2710.2912027411985,0.3175,4406.761339004674
4464,734921,0.2755,48.054047612142575,0.2795,51.835011461926705,0.28150000000000003,55.89226104421456,0.378,62.0276808234353,0.3855,86.83669717052881
4465,734921,0.4815,938.1317788425961,0.4815,659.1942233860362,0.481,456.0925610710161,0.47200000000000003,303.4829598273667,0.3555,138.3815320487812
4466,734921,0.227,430.1961762296973,0.228,440.4841262370374,0.23700000000000002,438.9198880705063,0.2765,418.04876477553097,0.3235,307.84806511966013
4467,734921,0.1995,179.2318395538687,0.229,247.88422420677998,0.24,339.5388421964838,0.2465,480.38186185986416,0.263,1000.9503410088112
4468,734921,0.289,294.5462855996628,0.298,476.7719363139207,0.3005,779.73635035986,0.306,1366.351671134948,0.3415,3876.44884466226
4469,734921,0.296,478.2528124556592,0.3175,406.8319450875774,0.53,335.2185505320736,0.53,266.5970376192306,0.51,214.9351348281533
4470,734921,0.256,39.46760989657122,0.2735,55.66491359643804,0.3435,82.98687326796012,0.393,136.35492813447945,0.491,388.0769853718098
4471,734921,0.224,168.3093870284016,0.226,229.04191090167302,0.23550000000000001,320.3145670599577,0.23650000000000002,480.4368146784065,0.2765,1066.8223669191907
4472,734921,0.2685,21.442466247546832,0.246,16.564430740540796,0.23950000000000002,13.344893980998487,0.191,11.02350938718449,0.188,8.889690735688562
4473,734921,0.1275,31.050273305390697,0.1275,29.277772546794495,0.1275,28.764335450877077,0.1335,30.34017150587239,0.137,47.830188365102615
4474,734921,0.459,245.49437084984893,0.47350000000000003,212.43469238498298,0.47950000000000004,178.08104004474868,0.483,141.82969229537926,0.51,85.5817551821758
4475,734921,0.5435,607620.895375458,0.5605,531189.6089136666,0.5805,315999.8061690393,0.5825,121104.52527915013,0.5630000000000001,9514.271367704541
4476,734921,0.1355,27.54163361046974,0.1355,30.901711611261252,0.146,35.035535806028875,0.1485,40.849706211646094,0.1655,58.77976405636668
4477,734921,0.301,116.29593357423303,0.2085,94.53687677814384,0.201,77.15450481954795,0.1975,62.42038138943779,0.1945,43.33059082337347
4478,734921,0.2935,205.48913277598203,0.33,226.9579458209128,0.34450000000000003,302.4878176231168,0.3755,559.7780008032414,0.6135,2447.567696539175
4479,734921,0.3145,56.2992161610562,0.3175,48.67363754364471,0.318,43.58126131931081,0.319,40.46274344824149,0.33,39.735168938705236
4480,734921,0.158,55.584301882285764,0.164,60.36086255765735,0.17400000000000002,66.78568733839322,0.178,77.46498669921192,0.211,127.98456256932766
4481,734921,0.2235,442.8010609421724,0.232,1025.2078967743525,0.23850000000000002,2359.4138647604436,0.2485,5658.895966775669,0.2725,20269.01931364693
4482,734921,0.201,40.550298389054085,0.2005,37.1485681277285,0.2,34.58663714298597,0.1705,32.59671712183079,0.1705,31.079828214802628
4483,734921,0.23700000000000002,7.625089591834083,0.247,7.89915655031324,0.266,8.7200191598353,0.27,10.641965174505692,0.609,29.775506278328756
4484,734921,0.1525,23.517457660909763,0.1585,22.91772509710564,0.1605,22.726089626569962,0.1815,22.922912986750692,0.2025,24.518887697897174
4485,734921,0.2515,6.854176166543364,0.2215,6.316109397824614,0.221,6.029510127953088,0.2195,5.950628951022062,0.196,6.637918964675108
4486,734921,0.224,91.62341701135865,0.203,75.6909028793658,0.1965,63.27220560916466,0.1905,52.529515133065075,0.164,38.00343079369532
4487,734921,0.4465,95.76506153976152,0.446,95.32786382982715,0.4405,94.06774393947519,0.439,90.58042628112435,0.42,76.9505007933069
4488,734921,0.2175,518.3002080392209,0.217,396.6033051563504,0.2155,294.7384207872785,0.2155,206.5229344090359,0.21,98.1344770665218
4489,734921,0.2325,259.3898534610831,0.2785,866.3189175694805,0.316,3167.4436467245428,0.338,12795.052780438205,0.3665,108127.84214354854
4490,734921,0.23,31.991457225399195,0.23,44.62965433807132,0.232,65.78497424599188,0.233,109.78501371112073,0.2645,435.7417408719859
4491,734921,0.3225,288.4777498835844,0.324,199.0891825670196,0.3245,151.80168823714698,0.3285,121.22308101389581,0.3285,84.21721836969226
4492,734921,0.168,20.490733773520958,0.1335,18.3607006276317,0.1335,16.93000405751607,0.1275,15.96629513572045,0.1265,15.783694531672138
4493,734921,0.243,290.3070831045687,0.246,326.88426308015187,0.2485,358.5517696226341,0.261,394.02353940231404,0.28450000000000003,502.3370200117545
4494,734921,0.321,35.39664902256992,0.322,34.38234325047366,0.3245,33.26192849073056,0.362,31.87115771417982,0.3675,29.54103999193965
4495,734921,0.1355,55.608348500184235,0.135,51.24173799656469,0.1405,47.70009345453653,0.14100000000000001,44.36370686591982,0.1535,38.79469798279683
4496,734921,0.445,679.34328370915,0.47600000000000003,878.1032928812687,0.525,976.1408114924373,0.5255,822.4685915598128,0.3565,178.8336245078511
4497,734921,0.2245,2113.410742837877,0.2215,2648.348516121265,0.2195,3059.4008447686765,0.218,3198.797892703242,0.2085,2191.3613959001996
4498,734921,0.2675,368.5058144783964,0.2985,504.6915107262718,0.3065,701.432509804411,0.34450000000000003,1051.9440737013404,0.434,3061.6183301073274
4499,734921,0.28400000000000003,49.14513290429136,0.295,60.016905251508454,0.3025,78.28535316020728,0.31,116.79741182241246,0.336,362.4033853347367
4500,734921,0.1575,430.97458573914497,0.2135,961.7152644187812,0.225,2260.2987422566707,0.2475,5727.020701048859,0.271,23477.146329412673
4501,734921,0.2425,1394.2163777919425,0.2425,1065.0716300830106,0.24,705.2833539077334,0.23750000000000002,381.5366515951623,0.2305,95.94826414665366
4502,734921,0.429,10548.144545347357,0.4195,7192.660595922014,0.41150000000000003,4032.8143903509786,0.389,1704.7013509084309,0.314,240.25015660225355
4503,734921,0.1525,11.155612394126454,0.17400000000000002,12.661843894696077,0.1915,16.399728705476775,0.1975,28.203467696964857,0.3055,194.85468291787157
4504,734921,0.188,40.44548219762853,0.264,47.01252094144878,0.2725,55.52838487656114,0.28750000000000003,68.62787844404161,0.36,124.05150504772251
4505,734921,0.2785,440.20915960136904,0.2715,602.2690173326466,0.2155,787.0179468814285,0.2095,988.7619690594672,0.1895,1160.0939254929256
4506,734921,0.108,80.86669901613115,0.1095,57.13760439286431,0.1095,42.47080205115032,0.2445,33.61168069776983,0.41600000000000004,32.13610151432882
4507,734921,0.4845,37.21773289659444,0.4875,39.28919116208321,0.4875,42.336238554114864,0.4875,47.60070422677478,0.20750000000000002,70.76224900842281
4508,734921,0.1905,16.40864198012277,0.21,16.762866769380416,0.221,17.45996902194256,0.222,18.731773785663123,0.23700000000000002,24.56354057676705
4509,734921,0.4585,514.2339584626098,0.364,455.72269888666267,0.3135,392.1638517196123,0.277,282.51843743943704,0.23850000000000002,74.05340451405499
4510,734921,0.2505,17.463177115578898,0.2535,17.543830935547433,0.28550000000000003,18.297068247636467,0.3035,20.386675660596225,0.3845,44.61488100975401
4511,734921,0.202,342.22544907899146,0.197,188.02273158908565,0.1795,121.84042229645401,0.1775,87.80771471717362,0.1485,61.563014303588076
4512,734921,0.3375,51.24859202287436,0.357,56.259903044324844,0.366,64.25285031138527,0.3785,79.54716023301519,0.445,189.25115860750617
4513,734921,0.211,77.89464831352832,0.1975,74.75297953524299,0.194,70.23572066920468,0.1545,63.636949397885836,0.1225,47.67889548016517
4514,734921,0.162,45.06724651286883,0.1545,39.54551487719643,0.1535,35.040983147728305,0.1535,31.056378027971064,0.1535,26.065389148524645
4515,734921,0.556,139.02975990882854,0.7925,237.48475135564254,0.793,436.244185592171,0.7855,893.4893245245001,0.6515,3510.923642931814
4516,734921,0.099,26.156135228717552,0.096,25.02977436844053,0.096,24.357185155380865,0.0955,24.150115259079055,0.098,26.01946061133595
4517,734921,0.164,59.6164779204734,0.1635,51.637620117088545,0.1635,44.577958597136316,0.1635,37.906816349575976,0.164,29.064510763089416
4518,734921,0.2965,14.485106353313645,0.219,12.863574324755584,0.219,11.846254319242737,0.219,11.32987033499886,0.3145,12.28234733684365
4519,734921,0.34600000000000003,6032.090937368467,0.3355,4058.3722530648743,0.3345,2255.0878785192426,0.3335,1031.1973598000177,0.3065,378.57403021837916
4520,734921,0.1245,43.54658622886316,0.122,36.30262623443903,0.11750000000000001,30.88022469935887,0.11750000000000001,26.376669652207,0.128,20.60393231618286
4521,734921,0.40900000000000003,1802.2565943066531,0.4035,978.2765847226675,0.304,485.9180633821744,0.299,233.98888020017614,0.2575,151.82428643290683
4522,734921,0.28750000000000003,124.78187465352319,0.2885,130.19994741039258,0.3145,140.6546164781141,0.321,160.9593095069929,0.3285,236.52261079931648
4523,734921,0.23750000000000002,370.8221415532407,0.23750000000000002,399.9366858618917,0.23750000000000002,423.25491600279753,0.23750000000000002,446.18720333004677,0.23950000000000002,548.6461567558144
4524,734921,0.133,77.2643821706285,0.1275,86.11905700530538,0.127,95.20821159967183,0.1275,104.92417071635415,0.139,119.5587928991867
4525,734921,0.1495,20.364000461825285,0.0815,15.306190054856415,0.0775,12.497747603282116,0.0735,10.692960316878292,0.073,9.182992039623604
4526,734921,0.3835,120.10086160254235,0.4425,138.66837415776453,0.4445,159.33788879804555,0.4445,175.51251588272012,0.4445,161.99902234562276
4527,734921,0.592,6009.38901050161,0.7715,8416.77255594909,0.7765,10016.002394135736,0.7855,7670.177602569657,0.5845,476.6715016127476
4528,734921,0.23800000000000002,17.73876555831563,0.247,22.73794231253125,0.2565,41.04978317452528,0.35000000000000003,236.34900518834607,0.483,49976.91352174904
4529,734921,0.063,7.704633717206081,0.0625,7.325618377491193,0.0625,7.089644563704088,0.0665,7.054886060164155,0.1525,8.736324282644778
4530,734921,0.4575,506.8170141930299,0.4265,328.0182281617134,0.4055,218.39697625589264,0.329,133.14655692352048,0.1295,43.35741520228991
4531,734921,0.209,805.0763144642808,0.209,650.1554930645605,0.2085,498.15213399966603,0.20800000000000002,345.9023798642527,0.20500000000000002,141.12757934869495
4532,734921,0.2245,87.72149566564275,0.2265,69.5267788574975,0.2285,55.66693353767734,0.243,44.128016617165606,0.296,30.4350336074315
4533,734921,0.183,117.7011831660209,0.1935,165.47693909216875,0.196,229.05455643804137,0.2175,312.666754180325,0.23550000000000001,442.06869053691526
4534,734921,0.632,89.23415707299505,0.6265000000000001,60.66557112944555,0.582,53.14384604399808,0.5415,51.09428928431519,0.268,53.61621106306065
4535,734921,0.272,21.120470734727448,0.338,23.72654220797476,0.3665,28.013273250321497,0.3965,36.753163562360136,0.424,92.75139307959715
4536,734921,0.1305,44.4778748401627,0.14250000000000002,39.08309455760485,0.146,34.52516756837016,0.148,30.36788216166777,0.17550000000000002,25.126758717233
